date,neo_id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,is_sentry_object,close_approach_date,close_approach_date_full,relative_velocity_kph,relative_velocity_kps,miss_distance_km,miss_distance_lunar,miss_distance_au,orbiting_body,nasa_jpl_url
2020-07-02,3893772,3893772,(2019 XD),27.4,0.0088014652,0.0196806745,False,False,2020-07-02,2020-Jul-02 10:15,42815.9665098778,11.8933240305,44667109.956306578,116.1480826766,0.2985811894,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3893772
2020-07-02,3843211,3843211,(2019 NY4),22.4,0.0880146521,0.1968067451,False,False,2020-07-02,2020-Jul-02 08:34,66810.6763512268,18.5585212087,53293781.503165064,138.5800546808,0.3562469272,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3843211
2020-07-02,3007574,3007574,(1997 WQ23),20.88,0.1772372393,0.3963145151,True,False,2020-07-02,2020-Jul-02 09:42,64747.6183752815,17.9854495487,34928589.819658036,90.8249658892,0.2334832028,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3007574
2020-07-02,2215588,2215588,215588 (2003 HF2),19.42,0.3471802221,0.776318577,True,False,2020-07-02,2020-Jul-02 20:10,113610.4794883008,31.5584665245,49218771.442813651,127.9837880797,0.3290071673,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2215588
2020-07-03,3744853,3744853,(2016 DP2),25.9,0.0175612318,0.0392681082,False,False,2020-07-03,2020-Jul-03 16:41,20129.781168269,5.5916058801,39827413.85288553,103.563399591,0.266229819,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3744853
2020-07-03,3337145,3337145,(2006 MH10),22.05,0.1034081995,0.2312277636,False,False,2020-07-03,2020-Jul-03 00:02,58701.551544657,16.3059865402,69191954.592823796,179.9201441612,0.4625196508,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3337145
2020-07-03,3412893,3412893,(2008 KD6),19.6,0.3195618867,0.7145621017,False,False,2020-07-03,2020-Jul-03 01:13,83778.2167302511,23.2717268695,55277880.744501505,143.7393166735,0.3695098115,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3412893
2020-07-03,3512702,3512702,(2010 FV9),25.4,0.022108281,0.0494356193,False,False,2020-07-03,2020-Jul-03 05:53,30812.147832998,8.5589299536,68608443.373596104,178.4028373688,0.4586191192,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3512702
2020-07-03,3893719,3893719,(2019 WO4),23.66,0.0492668706,0.1101640716,False,False,2020-07-03,2020-Jul-03 00:37,19631.8648136049,5.4532957816,54534235.028496103,141.8056114441,0.3645388469,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3893719
2020-07-03,3770325,3770325,(2017 EK),24.24,0.0377185489,0.0843412394,False,False,2020-07-03,2020-Jul-03 04:49,78256.4511847057,21.7379031069,63123438.502271407,164.1401550529,0.4219541261,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3770325
